Product ID,Product Name,Category,Stock Quantity,Supplier,Discount,Rating,Reviews,SKU,Warehouse,Return Policy,Brand,Supplier Contact,Placeholder,Price
1,Product C,Home,83,Supplier Z,17.92011193469083,2.642116455786864,66,SKU001,Warehouse B,30 Days,Brand X,9465317820,75,206.023000004478
2,Product A,Electronics,45,Supplier Y,1.03309257967158,3.015927702745451,51,SKU001,Warehouse C,15 Days,Brand X,9369407588,68,443.641578386826
3,Product C,Home,79,Supplier Z,4.845421733890554,4.868813823368773,5,SKU002,Warehouse B,7 Days,Brand Z,9900342830,4,414.6563251804426
4,Product C,Electronics,80,Supplier Y,14.52516235993095,3.646445986033569,9,SKU001,Warehouse A,7 Days,Brand X,9309893449,2,434.6297698987732
5,Product A,Home,2,Supplier Z,32.9852241073546,4.619980903889299,37,SKU001,Warehouse B,30 Days,Brand Y,9173870798,3,589.7056805624725
6,Product A,Home,93,Supplier Z,4.925753673426692,1.715034013884257,76,SKU001,Warehouse C,30 Days,Brand Y,9252943088,62,525.9619876644022
7,Product C,Electronics,68,Supplier Z,28.03284267503409,2.932944624980608,11,SKU002,Warehouse A,30 Days,Brand Z,9602181634,87,158.2793603640937
8,Product B,Home,50,Supplier X,5.994293541200213,4.634646679380202,45,SKU003,Warehouse A,30 Days,Brand X,9469725959,4,74.92328192016996
9,Product C,Clothing,29,Supplier Y,10.58076636746907,2.290448245765671,48,SKU003,Warehouse A,15 Days,Brand X,9814898584,60,732.1212942392751
10,Product C,Electronics,95,Supplier X,8.609426377788138,4.870656792585683,90,SKU002,Warehouse A,15 Days,Brand Z,9431916067,94,564.1202615690303
11,Product C,Clothing,81,Supplier X,3.361431778540525,1.38830996189463,71,SKU003,Warehouse C,30 Days,Brand Z,9795790122,56,365.4107603984711
12,Product C,Electronics,10,Supplier Z,33.56649086932951,4.610684681100148,62,SKU002,Warehouse B,30 Days,Brand X,9228372475,98,810.2742442730931
13,Product A,Home,27,Supplier Y,23.17017736930173,2.780848488263435,68,SKU001,Warehouse A,15 Days,Brand Z,9366096109,41,394.1778895183474
14,Product C,Home,15,Supplier Y,41.55267204486691,1.294976660564643,99,SKU003,Warehouse B,30 Days,Brand Y,9677371860,82,798.0054387046015
15,Product B,Home,60,Supplier Y,4.944541999115848,4.518086370344349,42,SKU002,Warehouse B,7 Days,Brand Z,9944605402,55,312.6985662372509
16,Product A,Electronics,31,Supplier Y,7.236646666903612,2.007760849636454,93,SKU002,Warehouse B,15 Days,Brand Y,9231622856,71,82.11684456974776
17,Product B,Clothing,21,Supplier X,15.32288656752253,1.089000501980901,59,SKU001,Warehouse B,7 Days,Brand Y,9609538441,27,933.3132968619298
18,Product B,Clothing,60,Supplier X,38.29329934694041,1.543228422276769,28,SKU002,Warehouse C,7 Days,Brand Y,9441097754,54,400.6056179885594
19,Product B,Electronics,58,Supplier Y,15.28794115778494,3.636458967599046,85,SKU003,Warehouse A,7 Days,Brand X,9937534040,37,794.7656471208841
20,Product B,Electronics,41,Supplier X,20.42093537493463,4.911245956552779,77,SKU001,Warehouse A,7 Days,Brand Y,9729544972,22,286.3526918900814
21,Product A,Clothing,46,Supplier Y,15.08017831485823,1.445848558334067,73,SKU002,Warehouse B,30 Days,Brand Z,9895000370,6,649.9014610024194
22,Product A,Clothing,45,Supplier X,4.011214590051498,2.847792192499048,10,SKU001,Warehouse A,30 Days,Brand Y,9555025219,37,874.577764525151
23,Product B,Clothing,26,Supplier Z,46.97168114480937,1.72254620379013,34,SKU002,Warehouse B,30 Days,Brand X,9257620091,76,51.22758211658052
24,Product B,Clothing,51,Supplier Z,27.42694960355944,3.980146136406368,22,SKU003,Warehouse C,30 Days,Brand X,9397648271,56,832.3294070392284
25,Product A,Electronics,36,Supplier Y,39.39165940927484,1.472235599047257,71,SKU003,Warehouse A,15 Days,Brand X,9362281867,84,575.6196749222094
26,Product A,Electronics,52,Supplier Y,32.9178546092648,1.959366993923558,20,SKU001,Warehouse B,30 Days,Brand X,9033368344,36,611.3970363694835
27,Product A,Home,81,Supplier X,25.71271395309875,1.785623870596285,36,SKU002,Warehouse A,15 Days,Brand Z,9506659823,5,527.9264207979228
28,Product C,Clothing,51,Supplier Y,4.483912832969006,3.210079121467912,27,SKU001,Warehouse B,7 Days,Brand X,9174990078,9,875.730352250806
29,Product C,Home,3,Supplier Y,32.13667726351522,4.492736368002529,94,SKU001,Warehouse A,15 Days,Brand Z,9942506416,26,52.99902366328109
30,Product C,Electronics,14,Supplier X,7.768517796841606,3.044360804625674,57,SKU003,Warehouse C,30 Days,Brand X,9887906703,89,268.4181076204896
31,Product B,Electronics,49,Supplier Y,20.71915846781383,1.232973811085885,52,SKU001,Warehouse A,7 Days,Brand X,9657849190,56,877.0049134705638
32,Product C,Home,77,Supplier Y,31.45565717402152,3.253555722387325,27,SKU002,Warehouse C,7 Days,Brand Z,9590451713,91,754.8222455066365
33,Product B,Clothing,91,Supplier Z,39.11145002360617,4.190083997272037,41,SKU003,Warehouse C,30 Days,Brand Y,9651514490,15,27.46870857681979
34,Product B,Clothing,1,Supplier Z,34.25225878543097,1.528624789217291,90,SKU002,Warehouse B,7 Days,Brand Z,9836003563,58,521.8362203776115
35,Product C,Clothing,57,Supplier Z,33.57667645273144,1.290844857378367,84,SKU001,Warehouse B,7 Days,Brand Y,9977320318,27,534.2769539055481
36,Product B,Clothing,17,Supplier Y,7.452110458760375,1.751231110230276,72,SKU003,Warehouse A,7 Days,Brand Z,9809567820,2,406.8733137766313
37,Product C,Home,50,Supplier X,17.30642700357939,3.98434529128651,92,SKU002,Warehouse C,15 Days,Brand Y,9248344653,56,304.4193987413698
38,Product C,Home,98,Supplier Z,2.145613633009708,3.366721678128006,60,SKU002,Warehouse B,7 Days,Brand X,9721842507,64,684.9076019082187
39,Product A,Electronics,14,Supplier Y,35.97384465882323,3.162378615846996,78,SKU001,Warehouse C,7 Days,Brand Y,9353030293,66,215.7125600577063
40,Product C,Clothing,59,Supplier Z,47.62929906587095,1.997919578527073,32,SKU002,Warehouse C,15 Days,Brand Y,9007866324,29,800.959076450989
41,Product A,Clothing,81,Supplier X,13.20551950895379,2.328946380987438,54,SKU001,Warehouse C,30 Days,Brand X,9703011375,18,805.0067891597971
42,Product C,Clothing,3,Supplier X,4.384835458115466,4.863540051773369,36,SKU001,Warehouse A,15 Days,Brand X,9513907313,96,421.1088231970923
43,Product C,Home,98,Supplier X,23.77850383768268,1.962500906917543,46,SKU001,Warehouse C,15 Days,Brand Y,9820663800,7,290.7125308005512
44,Product A,Clothing,40,Supplier X,42.83491115637844,4.606581693020354,35,SKU001,Warehouse C,30 Days,Brand Y,9938662463,61,291.0393997748061
45,Product A,Home,89,Supplier X,27.59870976358899,3.322126017830946,27,SKU003,Warehouse A,30 Days,Brand Z,9918375362,18,487.468410756248
46,Product C,Clothing,66,Supplier X,2.338857509505665,1.493185865484991,9,SKU002,Warehouse A,15 Days,Brand X,9818614421,35,722.3834325018652
47,Product B,Clothing,34,Supplier Y,48.7136120263973,2.869249512620272,22,SKU002,Warehouse B,7 Days,Brand X,9755770952,68,365.2800040839202
48,Product A,Electronics,90,Supplier Z,41.43249549813003,4.794194869443503,91,SKU003,Warehouse C,30 Days,Brand X,9871156782,59,613.942912003174
49,Product B,Clothing,95,Supplier X,6.579703852575508,2.674262392549434,97,SKU001,Warehouse C,7 Days,Brand Z,9127581991,33,388.6596159767684
50,Product B,Clothing,9,Supplier Z,46.08988782517545,4.453546259157449,4,SKU001,Warehouse A,30 Days,Brand Z,9949059945,54,311.4779572598695
51,Product B,Electronics,94,Supplier Z,22.53441443025943,2.025714778606831,81,SKU001,Warehouse A,7 Days,Brand Y,9498058932,26,34.61092075663622
52,Product A,Home,84,Supplier Y,18.59489952874706,3.283688607201492,5,SKU001,Warehouse B,15 Days,Brand Z,9981698933,38,13.87496467803673
53,Product B,Home,21,Supplier X,23.05266652635941,4.375408232807895,41,SKU003,Warehouse A,15 Days,Brand Z,9331922178,41,234.9356010536844
54,Product A,Clothing,93,Supplier X,41.72859784354736,4.682753764678782,46,SKU002,Warehouse A,15 Days,Brand Z,9839159902,41,412.3422239329855
55,Product B,Home,25,Supplier Y,32.97398391433929,2.943293468605203,86,SKU001,Warehouse A,15 Days,Brand X,9202284132,87,852.7485556884396
56,Product C,Clothing,44,Supplier Y,2.962422619986377,3.558752408581716,27,SKU001,Warehouse A,30 Days,Brand Y,9304385413,47,800.4994005011212
57,Product C,Electronics,25,Supplier Y,47.88021855580855,1.011920523129324,12,SKU001,Warehouse B,15 Days,Brand Z,9377704333,30,274.49360996211
58,Product A,Electronics,9,Supplier Y,7.389206673915888,2.012893230053558,24,SKU002,Warehouse C,7 Days,Brand Z,9919811666,21,252.0950385544564
59,Product C,Clothing,62,Supplier Y,37.27839758676755,2.114848414987783,6,SKU002,Warehouse C,15 Days,Brand Z,9173554617,86,235.0488503593272
60,Product C,Electronics,26,Supplier Z,31.80682652140655,1.373972046617723,65,SKU003,Warehouse C,15 Days,Brand X,9291252305,40,345.8449671235783
61,Product B,Electronics,57,Supplier Y,9.376402397328043,2.118780053427907,79,SKU002,Warehouse C,15 Days,Brand Y,9353730553,23,503.2167323660685
62,Product A,Clothing,37,Supplier X,8.536603805652481,2.284488132232557,57,SKU002,Warehouse C,15 Days,Brand Y,9557994616,39,444.2810943112597
63,Product B,Clothing,16,Supplier X,43.5163796852346,4.875064158272773,65,SKU001,Warehouse A,30 Days,Brand Z,9996146054,31,226.0904667936788
64,Product B,Electronics,37,Supplier Y,20.98474617497986,3.674409522243351,35,SKU002,Warehouse C,30 Days,Brand Y,9872889315,50,139.1468958441818
65,Product B,Home,76,Supplier Y,32.72882570870693,2.704020317665377,1,SKU001,Warehouse A,30 Days,Brand X,9257698204,32,22.45203436133343
66,Product B,Home,24,Supplier Y,25.20355019283366,4.952217842782037,37,SKU003,Warehouse C,7 Days,Brand Z,9187058178,27,162.4236062798388
67,Product B,Clothing,26,Supplier Y,36.36767585379798,1.612929280938445,73,SKU001,Warehouse C,7 Days,Brand Y,9088862732,80,708.3028064921771
68,Product B,Clothing,20,Supplier Y,23.96211875196653,2.904204775721938,13,SKU003,Warehouse A,15 Days,Brand Z,9819024035,89,251.2021836521271
69,Product B,Home,9,Supplier X,14.36899576277842,3.588248828196198,26,SKU002,Warehouse C,7 Days,Brand X,9304353896,81,473.9157920202947
70,Product A,Electronics,87,Supplier Z,18.16916854982482,1.222322537936308,14,SKU003,Warehouse A,7 Days,Brand Z,9533734744,78,595.3881374340123
71,Product C,Home,29,Supplier Y,42.95388472251713,3.867995432332475,84,SKU001,Warehouse B,7 Days,Brand X,9539598683,62,887.9724938032911
72,Product B,Home,31,Supplier Y,23.40173464613635,1.39946941168796,11,SKU002,Warehouse B,7 Days,Brand Z,9999870629,21,889.9665474094853
73,Product B,Home,19,Supplier Y,10.67246661223046,1.561129234398708,42,SKU002,Warehouse B,30 Days,Brand Z,9069545034,17,748.2763963445453
74,Product B,Home,20,Supplier X,46.73026940386266,1.638758049848336,96,SKU001,Warehouse C,30 Days,Brand Y,9724916283,84,44.80542212801641
75,Product B,Clothing,87,Supplier X,39.83002282491885,4.715559306622071,56,SKU002,Warehouse C,7 Days,Brand Y,9199284456,82,579.3197148945608
76,Product B,Clothing,27,Supplier Z,2.783307302809956,3.732942180552671,85,SKU001,Warehouse C,7 Days,Brand X,9479746429,1,788.7176361231914
77,Product B,Electronics,94,Supplier Z,49.94714809902589,3.621710004412416,47,SKU003,Warehouse C,30 Days,Brand X,9286555208,93,27.11516431572958
78,Product C,Electronics,85,Supplier Z,34.74633482200512,3.221973985859969,60,SKU003,Warehouse A,15 Days,Brand X,9583744277,88,554.1877675200125
79,Product C,Electronics,44,Supplier Z,8.013329952029347,2.171223994780411,81,SKU002,Warehouse B,30 Days,Brand Y,9112026260,25,859.1865043281691
80,Product B,Electronics,35,Supplier X,11.85838406492982,3.483558818397406,43,SKU001,Warehouse A,7 Days,Brand Z,9484856954,38,479.3610550838443
81,Product C,Home,71,Supplier Z,34.62227406207735,2.640598879554559,51,SKU001,Warehouse B,7 Days,Brand X,9936923602,16,14.06514086847397
82,Product A,Clothing,22,Supplier Y,38.9880527639561,1.58166460037046,61,SKU003,Warehouse B,7 Days,Brand Z,9037625120,15,20.90322475225138
83,Product B,Clothing,74,Supplier X,11.95179715749031,3.758389161310932,1,SKU001,Warehouse A,30 Days,Brand Z,9653582851,26,422.469677039613
84,Product A,Electronics,87,Supplier X,12.84844269496354,1.518328671719691,92,SKU002,Warehouse A,7 Days,Brand Y,9512555488,48,163.458580742587
85,Product A,Electronics,15,Supplier X,15.35603474360304,1.762674324084693,70,SKU002,Warehouse A,30 Days,Brand Y,9764025068,2,667.806150522327
86,Product B,Home,94,Supplier Y,29.90091824183184,4.270797247390424,30,SKU003,Warehouse B,15 Days,Brand Z,9504832719,41,711.7112722570924
87,Product C,Home,98,Supplier X,8.590808915063846,3.640468384500616,81,SKU001,Warehouse A,7 Days,Brand X,9210067627,62,186.1009975060223
88,Product A,Electronics,13,Supplier Y,5.212159944238875,3.52396461685457,72,SKU002,Warehouse C,7 Days,Brand Y,9790148480,28,889.6479556392401
89,Product B,Clothing,4,Supplier Z,33.94320445427568,2.672811137370896,71,SKU002,Warehouse A,15 Days,Brand Z,9795182525,1,447.4887665291366
90,Product A,Clothing,82,Supplier X,38.95489698965851,2.585122072957485,32,SKU002,Warehouse B,30 Days,Brand Y,9080738510,13,151.4174485160045
91,Product A,Clothing,56,Supplier Y,25.04647022082527,3.761050436741605,4,SKU001,Warehouse B,7 Days,Brand Z,9303465621,11,766.6090820887015
92,Product A,Electronics,23,Supplier X,18.19163551341927,3.960022154436183,77,SKU003,Warehouse A,7 Days,Brand Y,9803878623,23,792.0747550166051
93,Product A,Clothing,97,Supplier Z,21.60213567632382,3.040852809457242,57,SKU003,Warehouse A,7 Days,Brand X,9129274426,27,642.9025179388029
